source_record_id,result_rank,title,authors,year,doi,url,record_type,venue,normalized_title,exact_doi_duplicate_group,normalized_title_duplicate_group,manual_version_duplicate_group,deduplication_status,deduplication_notes
GS048,49,Evaluation of Anomaly-based Network Intrusion Detection Systems with Unclean Training Data for Low-rate Attack Detection,"AO Prabowo, DJ Arrizki, BA Pratomo, AI Fajar…",2026,10.3390/jcp6010014,https://www.mdpi.com/2624-800X/6/1/14,journal-article,…of Cybersecurity and…,evaluation of anomaly based network intrusion detection systems with unclean training data for low rate attack detection,,,,no_automatic_match,
GS049,50,AI-Driven Intrusion Detection Systems: Leveraging deep learning for network security,"M Joshi, S Birla, H Pal, K Khatri, M Kadwal…",2024,,https://www.academia.edu/download/118713454/44.pdf,journal-article,Nanotechnology…,ai driven intrusion detection systems leveraging deep learning for network security,,,,no_automatic_match,
GS050,51,Modular deep learning -based network intrusion detection architecture for real-world cyber-attack simulation,"V Ciric, M Milosevic, D Sokolovic…",2024,,https://www.sciencedirect.com/science/article/pii/S1569190X24000303,journal-article,…Modelling Practice and…,modular deep learning based network intrusion detection architecture for real world cyber attack simulation,,,,no_automatic_match,
GS051,52,Neuro-symbolic integration for open set recognition in network intrusion detection,"A Bizzarri, CE Yu, B Jalaian, F Riguzzi…",2024,10.1007/978-3-031-80607-0_5,https://link.springer.com/chapter/10.1007/978-3-031-80607-0_5,book-chapter,…Conference of the Italian…,neuro symbolic integration for open set recognition in network intrusion detection,DOI_DUP_001,TITLE_DUP_020,,candidate_duplicate,exact DOI candidate with SL009 | normalized-title candidate with SL009
GS052,53,Adaptive defense: Zero -day attack detection in nids with deep reinforcement learning,"K Alam, MF Monir, MJ Hossain, MS Uddin…",2025,10.1109/access.2025.3585445,https://ieeexplore.ieee.org/abstract/document/11063272/,journal-article,IEEE…,adaptive defense zero day attack detection in nids with deep reinforcement learning,DOI_DUP_012,TITLE_DUP_007,,candidate_duplicate,exact DOI candidate with IX002 | normalized-title candidate with IX002
GS053,54,Uncertainty -quantified neurosymbolic ai for open set recognition in network intrusion detection,"J Sander, CEJ Yu, B Jalaian…",2024,,https://ieeexplore.ieee.org/abstract/document/10773953/,proceedings-article,MILCOM 2024-2024…,uncertainty quantified neurosymbolic ai for open set recognition in network intrusion detection,,,,no_automatic_match,
GS054,55,An advanced attack categorization in NIDS using enhanced deep learning based EOptResfEANet methodology with hybrid feature extraction,"VA Moudiappa, K Nataraj, VN Rajavarman",2025,10.1007/s10586-024-04995-2,https://link.springer.com/article/10.1007/s10586-024-04995-2,journal-article,Cluster Computing,an advanced attack categorization in nids using enhanced deep learning based eoptresfeanet methodology with hybrid feature extraction,,,,no_automatic_match,
GS055,56,A comparative study of using deep learning algorithms in network intrusion detection,"S Elsayed, K Mohamed, MA Madkour",2024,,https://ieeexplore.ieee.org/abstract/document/10500368/,journal-article,IEEE Access,a comparative study of using deep learning algorithms in network intrusion detection,,,,no_automatic_match,
GS056,57,Optimizing intrusion detection using a hybrid CNN LSTM deep learning framework on the NSL KDD dataset,"V Jain, K Singh, S Joshi, L Malviya, R Patel, V Gupta…",2026,10.1007/s10791-026-10056-6,https://link.springer.com/article/10.1007/s10791-026-10056-6,journal-article,Discover…,optimizing intrusion detection using a hybrid cnn lstm deep learning framework on the nsl kdd dataset,,,,no_automatic_match,
GS057,58,A deep learning /machine learning approach for anomaly based network intrusion detection,"R Almuhanna, S Dardouri",2025,10.3389/frai.2025.1625891,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2025.1625891/full,journal-article,Frontiers in Artificial Intelligence,a deep learning machine learning approach for anomaly based network intrusion detection,DOI_DUP_021,TITLE_DUP_002,,candidate_duplicate,exact DOI candidate with CR028 | normalized-title candidate with CR028
